shited_time(min),time(min),mean,SEM
-10,0,1,0
-7,3,1.049879167,0.020140151
-4,6,1.021834544,0.049300825
-1,9,1.074072411,0.083203349
2,12,0.974024633,0.129381251
5,15,0.803055158,0.155015661
8,18,0.495894363,0.090372052
11,21,0.330601726,0.076871885
14,24,0.303281137,0.085127922
17,27,0.232149863,0.078030663
20,30,0.202757446,0.077954318
23,33,0.165567335,0.062727951
26,36,0.130507869,0.055679548
29,39,0.141146613,0.067224486
32,42,0.144643603,0.061681624
35,45,0.139744049,0.061328708
38,48,0.181177321,0.071168382
39,49,0.218820152,0.075786464
40,50,0.293771253,0.083063304
41,51,0.395825893,0.115002372
42,52,0.45821127,0.125946307
43,53,0.480807392,0.142665936
44,54,0.588207048,0.158089456
45,55,0.609700572,0.184169771
46,56,0.639232535,0.178988983